Rank,Rating,Title,Review
1.,98%,Parasite (Gisaengchung) (2019),459
2.,94%,Avengers: Endgame (2019),542
3.,97%,Knives Out (2019),464
4.,93%,Us (2019),551
5.,97%,Toy Story 4 (2019),451
6.,95%,The Irishman (2019),452
7.,95%,Little Women (2019),421
8.,96%,Booksmart (2019),372
9.,97%,The Farewell (2019),342
10.,95%,A Beautiful Day in the Neighborhood (2019),370
11.,94%,Marriage Story (2019),388
12.,95%,If Beale Street Could Talk (2019),360
13.,85%,Once Upon a Time In Hollywood (2019),565
14.,90%,Spider-Man: Far From Home (2019),448
15.,96%,Pain and Glory (Dolor y gloria) (2019),296
16.,90%,Shazam! (2019),410
17.,92%,Ford v Ferrari (2019),349
18.,97%,Dolemite Is My Name (2019),232
19.,99%,Apollo 11 (2019),186
20.,90%,The Lighthouse (2019),381
21.,89%,Rocketman (2019),388
22.,91%,Uncut Gems (2019),340
23.,99%,Amazing Grace (2019),160
24.,99%,They Shall Not Grow Old (2019),154
25.,99%,Ash Is Purest White (2019),153
26.,100%,Honeyland (2019),124
27.,89%,John Wick: Chapter 3 - Parabellum (2019),349
28.,94%,Honey Boy (2019),231
29.,100%,One Cut of the Dead (Kamera o tomeru na!) (2019),90
30.,93%,Fighting with My Family (2019),241
31.,94%,The Peanut Butter Falcon (2019),218
32.,99%,Knock Down the House (2019),104
33.,79%,Captain Marvel (2019),538
34.,96%,Birds of Passage (Pájaros de verano) (2019),167
35.,98%,Maiden (2019),118
36.,87%,Hustlers (2019),351
37.,98%,One Child Nation (2019),100
38.,98%,For Sama (2019),98
39.,98%,3 Faces (2019),98
40.,100%,Chained for Life (2019),52
41.,97%,First Love (Hatsukoi) (2019),117
42.,97%,Woman at War (Kona fer í stríð) (2019),117
43.,90%,How to Train Your Dragon: The Hidden World (2019),269
44.,100%,White Riot (2019),49
45.,94%,Transit (2019),179
46.,99%,The Chambermaid (La camarista) (2019),70
47.,97%,Tigers Are Not Afraid (Vuelven) (2019),113
48.,100%,Midnight Traveler (2019),47
49.,92%,Stan & Ollie (2019),221
50.,88%,Ready or Not (2019),308
51.,95%,Atlantics (2019),154
52.,100%,Mickey and the Bear (2019),45
53.,98%,Deadwood: The Movie (2019),88
54.,98%,Varda by Agnès (2019),88
55.,100%,"Scream, Queen! My Nightmare on Elm Street (2019)",43
56.,96%,Hail Satan? (2019),130
57.,100%,Changing the Game (2019),40
58.,98%,The Heiresses (Las Herederas) (2019),80
59.,97%,Toni Morrison: The Pieces I Am (2019),100
60.,92%,The Last Black Man in San Francisco (2019),206
61.,83%,Midsommar (2019),395
62.,95%,The Mustang (2019),133
63.,92%,Wild Rose (2019),194
64.,89%,Blinded by the Light (2019),258
65.,94%,Bad Education (2019),148
66.,83%,Ad Astra (2019),387
67.,98%,63 Up (2019),56
68.,98%,Homecoming: A Film by Beyoncé (2019),55
69.,98%,Too Late to Die Young (Tarde para morir joven) (2019),55
70.,91%,Gloria Bell (2019),205
71.,96%,By the Grace of God (Grâce à Dieu) (2019),96
72.,97%,Midnight Family (2019),72
73.,98%,Buñuel in the Labyrinth of the Turtles (Buñuel en el laberinto de las tortugas) (2019),49
74.,98%,Fiddler: A Miracle of Miracles (2019),47
75.,96%,American Factory (2019),90
76.,98%,Dirty God (2019),45
77.,97%,Making Waves: The Art of Cinematic Sound (2019),66
78.,98%,I'm No Longer Here (Ya no estoy aquí) (2019),43
79.,98%,Working Woman (2019),43
80.,97%,The Cave (2019),63
81.,97%,The Kingmaker (2019),62
82.,96%,I Lost My Body (2019),83
83.,97%,Harpoon (2019),61
84.,97%,"Love, Antosha (2019)",61
85.,95%,Little Woods (2019),96
86.,80%,Jojo Rabbit (2019),422
87.,89%,Dark Waters (2019),226
88.,96%,The Amusement Park (2019),71
89.,89%,The Two Popes (2019),223
90.,95%,Mike Wallace Is Here (2019),91
91.,96%,Ray & Liz (2019),69
92.,95%,Be Natural: The Untold Story of Alice Guy-Blaché (2019),86
93.,92%,Monos (2019),150
94.,94%,Shadow (2019),102
95.,96%,Rojo (2019),53
96.,91%,In Fabric (2019),160
97.,96%,An Elephant Sitting Still (Da xiang xi di er zuo) (2019),50
98.,96%,It Must Be Heaven (2019),49
99.,95%,The Mortuary Collection (2019),66
100.,91%,Clemency (2019),150
